,AVERAGE_CPU_USAGE,STD_CPU_USAGE,CV_CPU_USAGE,MIN_CPU_USAGE,MAX_CPU_USAGE
TOTAL_USAGE,68.04184153253232,37.15918747084571,258.63751511207033,0.0,100.0
BASE_USAGE,3.6300833333333338,5.569957846314658,153.4388424411191,1.25,64.55
SERVER_USAGE,25.68925,18.02791623350359,70.17688812831666,8.025,75.6
WORKFLOW_USAGE,38.72250819919898,13.561313391027463,35.02178454263455,16.75,100.0
