,MIN_CPU_USAGE,MIN_MEMORY_USAGE,MIN_DISK_USAGE
TOTAL_USAGE,0.0,10.5,0.0
BASE_USAGE,1.25,12.1,0.0
SERVER_USAGE,8.025,18.2,0.0
WORKFLOW_USAGE,16.75,17.0,0.0
