,AVERAGE_DISK_USAGE,STD_DISK_USAGE,CV_DISK_USAGE,MIN_DISK_USAGE,MAX_DISK_USAGE
TOTAL_USAGE,0.5056109725685738,0.1148280218100952,22.7107456206405,0.0,1.1999999999999886
BASE_USAGE,0.0,0.0,0.0,0.0,0.0
SERVER_USAGE,0.0,0.0,0.0,0.0,0.0
WORKFLOW_USAGE,0.5056109725685738,0.1148280218100952,22.7107456206405,0.0,1.1999999999999886
