,MAX_CPU_USAGE,MAX_MEMORY_USAGE,MAX_DISK_USAGE
TOTAL_USAGE,100.0,33.6,1.1999999999999886
BASE_USAGE,64.55,18.8,0.0
SERVER_USAGE,75.6,19.0,0.0
WORKFLOW_USAGE,100.0,33.6,1.1999999999999886
