,AVERAGE_MEMORY_USAGE,STD_MEMORY_USAGE,CV_MEMORY_USAGE,MIN_MEMORY_USAGE,MAX_MEMORY_USAGE
TOTAL_USAGE,45.53523244258621,5.64329628560916,29.248677053560694,10.4,41.4
BASE_USAGE,12.343666666666666,1.3071571783411853,10.589699265543885,12.0,21.3
SERVER_USAGE,9.013666666666671,0.1041451977876184,1.155414346225565,21.2,21.9
WORKFLOW_USAGE,24.17789910925287,4.231993909480356,17.503563441791243,19.4,41.4
