,MAX_CPU_USAGE,MAX_MEMORY_USAGE,MAX_DISK_USAGE
TOTAL_USAGE,100.0,41.4,1.0999999999999943
BASE_USAGE,80.0,21.3,0.0
SERVER_USAGE,64.075,21.9,0.0
WORKFLOW_USAGE,100.0,41.4,1.0999999999999943
