,AVERAGE_CPU_USAGE,AVERAGE_MEMORY_USAGE,AVERAGE_DISK_USAGE
TOTAL_USAGE,137.11125,29.855000000000004,0.0
BASE_USAGE,6.538333333333332,11.07666666666666,0.0
SERVER_USAGE,47.10541666666667,8.553333333333338,0.0
WORKFLOW_USAGE,83.46750000000002,10.225000000000005,0.0
