,AVERAGE_CPU_USAGE,AVERAGE_MEMORY_USAGE,AVERAGE_DISK_USAGE,STD_CPU_USAGE,STD_MEMORY_USAGE,STD_DISK_USAGE,CV_CPU_USAGE,CV_MEMORY_USAGE,CV_DISK_USAGE,MIN_CPU_USAGE,MIN_MEMORY_USAGE,MIN_DISK_USAGE,MAX_CPU_USAGE,MAX_MEMORY_USAGE,MAX_DISK_USAGE,SENT_BYTES,RECEIVED_BYTES
TOTAL_USAGE,137.11125,29.855000000000004,0.0,32.191749408731894,2.419232512720058,0.0,283.7598044893346,22.96067494085179,0.0,0.0,10.5,0.0,100.0,24.1,0.0,0.1521270563825965,0.15222841035574675
BASE_USAGE,6.538333333333332,11.07666666666666,0.0,17.158106360810592,1.1390590658765483,0.0,262.4232428367667,10.283410164398575,0.0,0.5,10.8,0.0,96.225,16.5,0.0,7.593072950839996e-06,2.0827166736125946e-05
SERVER_USAGE,47.10541666666667,8.553333333333338,0.0,3.5954706026008147,0.08225975119502009,0.0,7.632817745873134,0.9617274106978182,0.0,48.2,19.5,0.0,67.125,19.8,0.0,0.034330801106989384,0.034378884360194206
WORKFLOW_USAGE,83.46750000000002,10.225000000000005,0.0,11.43817244532049,1.1979136956484897,0.0,13.703743906694807,11.715537365755395,0.0,59.475,19.2,0.0,100.0,24.1,0.0,0.11778866220265627,0.11782869882881641
