,MAX_CPU_USAGE,MAX_MEMORY_USAGE,MAX_DISK_USAGE
TOTAL_USAGE,73.14999999999999,20.7,1.0999999999999943
BASE_USAGE,69.625,19.4,0.0
SERVER_USAGE,64.725,19.4,0.09999999999999432
WORKFLOW_USAGE,61.35,20.7,1.0999999999999943
