,MIN_CPU_USAGE,MIN_MEMORY_USAGE,MIN_DISK_USAGE
TOTAL_USAGE,0.0,10.7,0.0
BASE_USAGE,0.75,11.5,0.0
SERVER_USAGE,8.85,19.1,0.0
WORKFLOW_USAGE,7.4,17.6,0.09999999999999432
