,AVERAGE_CPU_USAGE,STD_CPU_USAGE,CV_CPU_USAGE,MIN_CPU_USAGE,MAX_CPU_USAGE
TOTAL_USAGE,137.11125,32.191749408731894,283.7598044893346,0.0,100.0
BASE_USAGE,6.538333333333332,17.158106360810592,262.4232428367667,0.5,96.225
SERVER_USAGE,47.10541666666667,3.5954706026008147,7.632817745873134,48.2,67.125
WORKFLOW_USAGE,83.46750000000002,11.43817244532049,13.703743906694807,59.475,100.0
