Duration (Seconds),CPU_Usage,Memory_Usage,Disk_Usage
225,81.45,20.9,0.0
226,65.925,19.7,0.0
227,83.6,20.2,0.0
228,80.77499999999999,20.8,0.0
229,83.275,21.0,0.0
230,81.075,20.0,0.0
231,80.75,20.5,0.0
232,77.675,20.9,0.0
233,81.65,21.1,0.0
234,80.95,20.4,0.0
235,79.275,20.7,0.0
236,77.25,21.0,0.0
237,83.60000000000001,20.3,0.0
238,80.19999999999999,20.6,0.0
239,82.8,20.9,0.0
240,80.85,21.1,0.0
241,67.125,19.6,0.0
242,56.225,19.7,0.0
243,63.575,19.6,0.0
244,55.9,19.7,0.0
245,55.875,19.8,0.0
246,52.8,19.6,0.0
247,48.2,19.7,0.0
248,49.05,19.7,0.0
249,51.225,19.7,0.0
250,51.6,19.6,0.0
251,53.6,19.7,0.0
252,52.275,19.6,0.0
253,54.2,19.7,0.0
254,53.650000000000006,19.7,0.0
255,51.3,19.6,0.0
256,53.85,19.8,0.0
257,54.575,19.7,0.0
258,49.875,19.7,0.0
259,49.75000000000001,19.6,0.0
260,51.55,19.7,0.0
261,63.1,19.7,0.0
262,57.1,19.6,0.0
263,58.875,19.7,0.0
264,63.45,19.7,0.0
265,54.85,19.6,0.0
266,53.975,19.5,0.0
267,54.225,19.6,0.0
268,54.225,19.8,0.0
269,52.65,19.6,0.0
270,51.95,19.7,0.0
271,52.225,19.5,0.0
272,54.375,19.5,0.0
273,53.725,19.7,0.0
274,49.275,19.5,0.0
275,55.15,19.5,0.0
276,53.625,19.6,0.0
277,55.025,19.6,0.0
278,53.7,19.7,0.0
279,51.0,19.5,0.0
280,54.75,19.6,0.0
281,50.95,19.6,0.0
282,55.325,19.6,0.0
283,53.875,19.7,0.0
284,49.95,19.5,0.0
285,50.8,19.6,0.0
286,54.975,19.5,0.0
287,50.2,19.6,0.0
288,54.85,19.7,0.0
289,51.25,19.5,0.0
290,51.3,19.6,0.0
291,50.75,19.6,0.0
292,54.95,19.7,0.0
293,49.45,19.7,0.0
294,51.650000000000006,19.6,0.0
295,51.35,19.7,0.0
