,MIN_CPU_USAGE,MIN_MEMORY_USAGE,MIN_DISK_USAGE
TOTAL_USAGE,0.0,10.5,0.0
BASE_USAGE,0.5,10.8,0.0
SERVER_USAGE,48.2,19.5,0.0
WORKFLOW_USAGE,59.475,19.2,0.0
